Brand,Product Name,URL,Release Date,Original Review Date,Category,Audience Rating,RR Verdict,Toebox,Pace,Strike Pattern,Material,Terrain,Type,Pros,Cons,Heel stack (mm),Forefoot stack (mm),Drop (mm),Midsole softness (HA),Midsole softness in cold (HA),Midsole softness in cold (%),Insole thickness (mm),Size,Toebox height (mm),Torsional rigidity,Heel counter stiffness,Midsole width - forefoot (mm),Midsole width - heel (mm),Stiffness in cold (N),Stiffness in cold (%),Weight (oz),Weight (g),Breathability,Toebox durability,Heel padding durability,Outsole hardness (HC),Outsole durability (mm),Outsole thickness (mm),Price,Reflective elements,Tongue padding (mm),Tongue: gusset type,Heel tab,Removable insole,Toebox feel,Midfoot feel,Heel feel,Lug depth (mm),Secondary foam softness (HA),Leather/Suede quality,Toe guard durability,Flexibility / Stiffness (average) (N),Toebox width - widest part (average) (mm),Toebox width - big toe (average) (mm)
Nike,Pegasus Trail 5,https://runrepeat.com/nike-pegasus-trail-5,,"Jun 28, 2024",Running,91.0,"Our verdict: Nike has completely revamped the Pegasus Trail 5. We discovered that it now features a superior ReactX midsole, a roomier upper, and higher-quality materials—all for the same price. Durability is also impressive for being a road-to-trail shoe. However, we believe the grip is still lacking, and there's a slight weight increase that could have been avoided.",,,Heel strike,"Mesh  |, Mesh, |, Reflective, Reflective",Trail,Comfortable,"Fully gusseted tongue, Reflective elements, Durable upper construction, New rockered sole, Great for heel strikers, Reasonably priced, All-around comfort","Weight increase, Possibly too plush for trails, Still lacks traction",34.6,25.0,9.6,11.1,14.6,31.0,4.9,True to size,26.6,3.0,4.0,113.4,87.7,25.1,30.0,10.09,286.0,2.0,5.0,4.0,87.9,0.8,2.2,$150,Yes,7.2,Both sides (full),Finger loop,Yes,,,,3.2,,,,16.3,99.4,77.8
Hoka,Mach 6,https://runrepeat.com/hoka-mach-6,,"Apr 20, 2024",Running,88.0,"Our verdict: The Hoka Mach 6 marks a stellar leap from v5, ticking off all our boxes for improvement. We were delighted to find it not just light and grippy, but also versatile and comfortable—though it still caters more to runners with narrower feet. We really liked how it effortlessly handles various paces and distances, performing admirably across the board. For us, it's a well-rounded upgrade that meets the mark of an excellent daily trainer.",,Daily running,Heel strike,"Mesh, Vegan, Mesh, ,",Road,"Breathable  |, |, Comfortable  |, |, For heavy runners  |, |, For big guys  |, |, Maximalist  |, |, Lightweight","Really lightweight, Fantastic outsole, Exciting ride, Highly cushioned, Great for heel strikers, Handles faster paces, Superb lockdown, Excellent value at $140","Drop varies from stated, Tapered toebox, Thin tongue",36.0,26.4,9.6,20.4,29.0,42.0,4.5,True to size,30.0,4.0,4.0,113.9,93.7,22.9,23.0,8.18,232.0,5.0,2.0,1.0,75.1,0.6,2.5,$140,No,1.5,Both sides (semi),Extended heel collar,Yes,,,,,,,,16.2,96.95,73.0
Saucony,Peregrine 14,https://runrepeat.com/saucony-peregrine-14,,"Mar 31, 2024",Running,89.0,"Our verdict: The Saucony Peregrine 14 refines its winning formula with a few precise tweaks. We found that it remains an excellent pick for value, comfort and versatility. We were also pleased to see it address many of its previous shortcomings, such as the thin tongue. Although the ride remains somewhat firm and would benefit from increased energy return, our tests confirm it remains a top contender as one of the best versatile trail shoes for yet another year.",,,Forefoot/Midfoot strike,"Mesh  |, Mesh, |, Reflective, Reflective",Trail,Low drop,"Natural running feel, Superb value at just $140, Flexible and comfortable, Heel security, Plusher tongue, Cushioned insole, Rock plate, Highly versatile","Limited energy return, Somewhat firm",27.3,25.1,2.2,26.0,29.5,14.0,6.9,True to size,26.4,3.0,3.0,112.3,85.9,29.1,32.0,9.38,266.0,3.0,3.0,3.0,92.4,0.9,1.9,$140,Yes,6.9,Both sides (semi),Finger loop,Yes,,,,4.7,,,,22.0,99.75,74.85
Brooks,Glycerin 21,https://runrepeat.com/brooks-glycerin-21,,"May 9, 2024",Running,86.0,"Our verdict: The Glycerin has been a mainstay in Brooks' lineup for over two decades for good reasons. In our tests, we found that the 21st version stands out as the best yet—boasting enhanced cushioning, a robust outsole, and unmatched comfort from the first mile. It’s particularly suitable for heel strikers, providing a stable ride that excels on long runs. However, we also noted that it might polarize some runners, primarily catering to rearfoot strikers and being too warm for hot summer runs.",,Daily running,Heel strike,"Knit, Vegan, ,",Road,"Comfortable  |, |, For heavy runners  |, |, For big guys  |, |, Maximalist","More cushioning, Built-like-a-tank outsole, Ideal for long runs, Lighter than predecessor, Comfortable fit, Great stability, Supercritical midsole","Slightly warm, Minor price hike, Rigid heel counter",37.2,26.6,10.6,20.4,27.9,37.0,4.8,True to size,26.4,2.0,5.0,117.2,100.0,24.9,15.0,9.81,278.0,3.0,2.0,4.0,84.9,0.5,3.2,$160,No,11.5,,,Yes,,,,,,,,17.0,97.6,75.30000000000001
Brooks,Glycerin Gts 21,https://runrepeat.com/brooks-glycerin-gts-21,,"May 9, 2024",Running,88.0,"Our verdict: The Brooks Glycerin GTS 21 is a robust and well-constructed daily trainer, ideal for those requiring moderate stability. It's extremely cushioned, comfortable, and supportive, with an outsole that lasts forever. However, we also noticed that the upper tends to run warm and the shoe doesn’t perform well at faster speeds, limiting its versatility across different weather conditions or paces. Despite these issues, we think it's still an exceptional pick for those seeking some support without committing to a full stability model.",,Daily running,Heel strike,"Vegan, Knit, ,",Road,"Comfortable  |, |, For heavy runners  |, |, For big guys  |, |, Maximalist","Reasonable weight gain over non-GTS version, Super comfortable upper, Fantastic non-intrusive stability, Responsive supercritical foam, Built-like-a-tank outsole, Roomy toebox, Ready for marathon training","Knit upper lacks ventilation, Not suitable for faster paces, Could be lighter",37.2,26.5,10.7,20.9,28.6,37.0,4.6,True to size,26.8,4.0,5.0,117.3,100.2,26.9,15.0,10.62,301.0,3.0,3.0,4.0,87.0,0.5,3.2,$160,No,11.5,,,Yes,,,,,,,,23.4,98.5,77.3
Hoka,Bondi 9,https://runrepeat.com/hoka-bondi-9,,"Feb 9, 2025",Running,91.0,"Our verdict: The Bondi 9 arrived after a long wait, and we found Hoka prioritized consistency to maintain the v8’s winning formula. In our lab tests, we discovered it to be a better version in every way—lighter, more durable, and packed with improved cushioning. The new supercritical foam is definitely bouncier, while the upper materials provide a premium fit. However, its narrow toebox, oversized frame, and hefty build still limit its appeal for many runners.",,Daily running,Heel strike,"Knit  |, |, Reflective, Reflective",Road,"Comfortable  |, |, For heavy runners  |, |, For big guys  |, |, Maximalist","Endless cushioning, New supercritical EVA midsole, Amazing step-in comfort, Doubles as a walking shoe, Stable for its height, Built to last, Excels at slow-and-steady paces, Well-designed heel collar, Lighter than v8","Not for wide feet, Still feels heavy and clunky underfoot, Drop measurement differs from stated, Non-gusseted tongue",41.3,32.2,9.1,25.1,30.2,20.0,4.4,True to size,29.6,4.0,3.0,123.2,104.2,35.4,16.0,10.69,303.0,3.0,4.0,5.0,76.5,0.9,3.4,$170,Yes,9.0,,Extended heel collar,Yes,,,,,,,,23.55,94.1,72.5
Saucony,Guide 17,https://runrepeat.com/saucony-guide-17,,"Mar 27, 2024",Running,90.0,"Our verdict: The Guide 17 is a significant evolution from its predecessors. We put it to the test and were impressed by Saucony's departure from traditional stability features, offering a rockered ride. And despite a slight decrease in agility from its wider midsole, the shoe still maintains a competitive weight. Therefore, we believe it's a great upgrade, standing out as a top choice for anyone in search of a modern stability shoe that's reasonably priced.",,Daily running,Forefoot/Midfoot strike,"Mesh  |, Mesh, |, Reflective, Reflective",Road,"Comfortable  |, |, For heavy runners  |, |, For big guys","Enhanced stability features, Improved stack height, Lightweight, Fairly priced, Smoother transitions with new rocker, Premium PWRRUN+ sockliner","Grip could be better, Less agile than before, Exposed midsole",34.9,27.9,7.0,22.3,27.6,24.0,6.7,True to size,29.3,3.0,4.0,121.0,104.6,25.7,16.0,9.7,275.0,3.0,3.0,5.0,88.8,0.6,3.0,$140,Yes,4.0,Both sides (semi),Finger loop,Yes,,,,,,,,22.2,99.94999999999999,77.2
On,Cloudmonster,https://runrepeat.com/on-cloudmonster,Mar 2022,"Oct 25, 2023",Running,91.0,"Our verdict: The On Cloudmonster is the brand's max-cushioned running shoe that blew our minds. From firm to forgiving, it's a new take that we are confident is perfect for daily training and long runs. True to its name, it has a monstrous amount of foam that keeps our feet protected and comfy all day. So much so that we can take it out on our walks as well.",,Daily running,Forefoot/Midfoot strike,"Mesh, Mesh",Road,Breathable,"All-day comfort, Bouncy cushion, Smooth heel-to-toe transitions, Protective for long runs, Stable when cornering, Weighs less than it looks, Grippy on wet roads, Can work on light trails, Perfect lockdown, Durable, Sustainable upper","Firm for recovery days, Not for wide feet, Expensive",34.9,28.1,6.8,25.8,35.3,37.0,3.4,Slightly small,,3.0,1.0,109.0,86.2,59.8,74.0,9.88,280.0,5.0,,1.0,78.5,,3.7,$170,No,1.0,Both sides (full),,Yes,,,,,,,,25.7,97.3,
Brooks,Ghost 16,https://runrepeat.com/brooks-ghost-16,,"Jul 30, 2024",Running,81.0,"Our verdict: The Brooks Ghost 16 marks a subtle yet positive evolution in the series—particularly beneficial for heel strikers seeking a reliable everyday shoe. We were impressed by the enhancements in cushioning and stability, and we really liked the spacious toebox and durable outsole, proving its value during our lab tests. Although there's still room for improvement on our list, we've determined that the Ghost continues to be one of the best value daily trainers on the market for yet another year.",,Daily running,Heel strike,"Mesh  |, Mesh, |, Reflective, Reflective",Road,"Breathable  |, |, Comfortable  |, |, For heavy runners  |, |, For big guys  |, |, Maximalist","Dependable, Optimal for heel strikers, Long-lasting outsole, Great stability, Improved energy return, Versatile for multiple activities, Maintains affordable price","Tongue not gusseted, Stiff heel counter, Low toebox volume",35.1,22.7,12.4,21.6,25.1,16.0,5.0,True to size,26.8,3.0,5.0,115.0,94.7,18.0,33.0,9.38,266.0,4.0,3.0,4.0,80.9,0.7,4.1,$140,Yes,10.4,,,Yes,,,,,,,,11.6,98.05,75.75
Nike,Winflo 11,https://runrepeat.com/nike-winflo-11,,"Jun 21, 2024",Running,87.0,"Our verdict: In our view, the Nike Winflo 11 remains a fantastic value-oriented running shoe. We were delighted to discover that it's now more spacious and cushioned, and now it boasts an upgraded engineered mesh upper that enhances breathability and durability. On the downside, it's heavier and less stable than its predecessor, but this doesn't stop us from recommending it. For any neutral runner with budget considerations, the Winflo 11 is a really solid choice.",,Daily running,Heel strike,"Mesh  |, Mesh, |, Reflective, Reflective",Road,"Breathable  |, |, Comfortable  |, |, Maximalist","Comfortable engineered mesh, Exceptional durability, Excellent value for price, Gusseted tongue, Ideal for heel strikers, Plush foam cushioning, Perfect for beginners, Full-length Air unit","Small price increase from v10, Notable weight gain, Lacks stability, Low-volume toebox",37.6,25.3,12.3,13.9,17.9,29.0,3.6,True to size,24.3,4.0,3.0,108.0,84.6,35.9,29.0,10.41,295.0,4.0,3.0,5.0,93.0,0.9,3.6,$105,Yes,8.2,Both sides (full),,Yes,,,,,,,,22.3,98.19999999999999,75.44999999999999
Hoka,Arahi 7,https://runrepeat.com/hoka-arahi-7,,"Mar 18, 2024",Running,83.0,"Our verdict: The Hoka Arahi 7, with its mild stability, really shines for those who favor a snug upper alongside a firm midsole. Despite its incredibly comfy knit upper and solid stability, it's not a shoe for everyone—it's tailored for specific runners. We found that this version has a unique ride and feel, setting it apart from previous Arahis, so don't expect an automatic match—we advise being ready for something different!",,Daily running,Forefoot/Midfoot strike,"Knit, Vegan, ,",Road,,"Premium and comfy upper, Still surprisingly light, Subtle yet effective stability features, Versatile for all footstrikes, Reasonably priced, Excellent fit and security, Plush tongue, Cushioned","Limited breathability, Low energy return, Only for narrow feet",34.2,27.9,6.3,26.6,31.3,17.0,5.3,True to size,28.6,5.0,5.0,120.7,97.5,40.6,21.0,9.38,266.0,3.0,5.0,5.0,85.6,0.9,3.5,$145,No,10.0,Both sides (semi),Extended heel collar,Yes,,,,,,,,25.65,95.4,72.35
New Balance,Fresh Foam X 880 V 14,https://runrepeat.com/new-balance-fresh-foam-x-880-v-14,,"Oct 17, 2024",Running,88.0,"Our verdict: We believe the New Balance Fresh Foam X 880 v14 is a strong contender for runners seeking a dependable daily trainer. We found the knit upper to be incredibly comfortable, offering a roomy fit for longer runs. We also discovered that it's lighter than previous versions, enhancing its overall versatility. However, the midsole still lacks energy return, and the upper runs hot in summer conditions. Despite these downsides, this is definitely the best 880 yet!",,Daily running,Heel strike,Knit,Road,Comfortable,"Great fit with gusseted tongue, Roomy for wider feet, Fairly priced, Soft, comfortable knit, Lighter than its predecessor, Plush midsole, Generous outsole coverage, Available in up to four widths","Lacks energy return, Limited airflow, Midsole gets firm in winter",33.0,25.0,8.0,15.6,22.0,41.0,4.7,Slightly small,28.5,3.0,3.0,116.5,92.6,27.4,33.0,8.85,251.0,3.0,3.0,1.0,85.0,1.2,3.4,$140,No,7.9,Both sides (semi),,Yes,,,,,,,,16.75,99.44999999999999,79.2
Nike,Pegasus Plus,https://runrepeat.com/nike-pegasus-plus,,"Oct 15, 2024",Running,90.0,"Our verdict: The Pegasus Turbo 4, rebranded at the last minute as the Pegasus Plus, still carries its legacy as a lightweight, responsive, and versatile runner—but it's no longer the magical, one-of-a-kind shoe it was back in 2018. In our experience, it offers a lightweight, responsive feel, but we found it slightly overpriced compared to the competition and notably snug in fit. That’s nothing new for this line, though, and we believe it’s the best Turbo yet—if Nike lets us call it that. We were also impressed by its sleek, race-inspired design. All in all, it’s gorgeous and fast, but not for everyone.",,Tempo,Heel strike,"Knit  |, |, Reflective, Reflective",Road,Lightweight,"Amazing look, Bouncy ZoomX midsole, Much faster than a regular Pegasus, Great for tempo sessions, Flexible build, Good option for lightweight runners, Versatile for multiple paces, Classic, fun running experience","Limited stability, Narrow, tapered toebox, Overpriced, Non-gusseted tongue",33.0,23.6,9.4,12.3,15.4,26.0,4.4,True to size,29.3,3.0,4.0,116.5,89.5,16.9,9.0,8.61,244.0,3.0,3.0,5.0,80.0,1.2,2.7,$180,Yes,2.8,,,Yes,,,,,,,,13.05,95.25,73.25
Adidas,Ultraboost 5 X,https://runrepeat.com/adidas-ultraboost-5-x,,"Jan 22, 2025",Running,90.0,"Our verdict: The Adidas Ultraboost 5X delivers the revamp this series needed, combining weight reduction, a premium-knit upper, and unmatched durability. In our lab tests, we found it retains its iconic DNA while addressing past flaws, making it more runner-focused while remaining great as a casual sneaker. The UB5X feels well-cushioned and supportive, particularly for heel strikers, though it lacks the lively energy of similarly priced competitors—an issue compounded by its undeniably high price point.",,Daily running,Heel strike,"Knit  |, |, Reflective, Reflective",Road,Comfortable,"Works well as a casual sneaker too, Premium, high-quality materials throughout, Stretchy, roomy upper, Built-to-last durability, Best Ultraboost version to date, Stable for heel strikers, Increased stack height, Continental rubber, Noticeable weight reduction","Steep price, Ventilation falls short of expectations, Limited to slower paces, Less stack height than advertised",34.6,24.2,10.4,16.4,22.0,34.0,3.1,True to size,23.9,4.0,3.0,115.4,94.5,20.2,10.0,9.38,266.0,3.0,5.0,5.0,79.4,0.4,2.6,$180,Yes,1.5,Sock like,Extended heel collar,Yes,,,,,,,,14.95,96.2,75.4
Brooks,Ghost 15,https://runrepeat.com/brooks-ghost-15,Nov 2022,"Jun 30, 2023",Running,88.0,"Our verdict: The Ghost is a renowned daily trainer from Brooks, and the v15 is a top recommendation from us for its exceptional comfort and durability. Ideal for daily training at varying speeds, it particularly benefits heel strikers with its generous cushioning and enormous heel-to-toe drop. Offering a modern update and up to four widths, we found it remains a versatile option that's reasonably priced.",,Daily running,Heel strike,"Mesh, Vegan  |, Mesh, ,, |, Reflective, Reflective",Road,"Breathable  |, |, Comfortable  |, |, Maximalist","Supreme comfort, Plush, stable ride that's a delight, Optimized for heel strikers, No heel slippage, Great grip in wet conditions, Built to endure countless miles, Impressive value for $140, Great for both running and walking, Available in up to four different widths","Slightly heavier than its predecessor, Could use some improvements in breathability, Not a good one for forefoot strikers",36.3,23.1,13.2,15.9,24.5,54.0,4.5,True to size,,3.0,5.0,112.9,95.8,25.5,41.0,9.84,279.0,4.0,1.0,2.0,84.4,0.4,3.5,$140,Yes,11.4,,,Yes,Medium,Normal,Normal,,,,,13.85,96.8,77.7
